Participant_ID,Cycle_Phase,Craving_Type,Craved_Food_Item,Craving_Intensity,Craving_Frequency,Preferred_Action_When_Craving
P0165,Follicular,Sweet,Ice Cream,6,Often,Watch Movie
P0166,Menstrual,Fatty,Fries,7,Often,Eat
P0167,Ovulation,Sweet,Chocolate,4,Sometimes,Go Out
P0168,Follicular,Salty,Nuts,5,Sometimes,Eat
P0169,Luteal,Sweet,Cookies,8,Rare,Go Out
P0170,Menstrual,Salty,Chips,9,Sometimes,Rest
P0171,Luteal,None,None,7,Often,Go Out
P0172,Ovulation,Spicy,Tacos,10,Often,Go Out
P0173,Menstrual,Sweet,Ice Cream,1,Sometimes,Rest
P0174,Follicular,Salty,Popcorn,3,Often,Go Out
P0175,Menstrual,Fatty,Burger,5,Often,Watch Movie
P0176,Luteal,None,None,3,Rare,Watch Movie
P0177,Ovulation,Sweet,Cookies,1,Often,Go Out
P0178,Luteal,Spicy,Tacos,2,Rare,Watch Movie
P0179,Menstrual,Sweet,Cake,8,Often,Go Out
P0180,Menstrual,Spicy,Tacos,7,Sometimes,Watch Movie
P0181,Luteal,None,None,10,Often,Go Out
P0182,Menstrual,Fatty,Fries,3,Always,Go Out
P0183,Luteal,Sweet,Candy,4,Often,Go Out
P0184,Ovulation,Salty,Chips,3,Sometimes,Rest
P0185,Follicular,Spicy,Pizza,4,Sometimes,Rest
P0186,Luteal,Sweet,Chocolate,8,Sometimes,Rest
P0187,Luteal,Salty,Popcorn,9,Sometimes,Eat
P0188,Menstrual,Salty,Popcorn,7,Often,Rest
P0189,Ovulation,Salty,Chips,9,Sometimes,Go Out
P0190,Ovulation,Sweet,Cookies,9,Sometimes,Go Out
P0191,Ovulation,Spicy,Pizza,7,Often,Rest
P0192,Follicular,Spicy,Tacos,7,Rare,Go Out
P0193,Follicular,Fatty,Cheese,8,Always,Watch Movie
P0194,Menstrual,Sweet,Chocolate,10,Often,Eat
P0195,Ovulation,Spicy,Tacos,3,Always,Eat
P0196,Follicular,Fatty,Burger,8,Sometimes,Go Out
P0197,Ovulation,Fatty,Fries,1,Always,Go Out
P0198,Menstrual,Salty,Popcorn,6,Sometimes,Go Out
P0199,Ovulation,Sweet,Chocolate,2,Often,Eat
P0200,Luteal,Spicy,Pizza,7,Sometimes,Watch Movie
P0201,Follicular,Fatty,Fries,3,Always,Watch Movie
P0202,Follicular,Sweet,Cake,10,Rare,Eat
P0203,Luteal,Fatty,Cheese,5,Always,Rest
P0204,Follicular,Salty,Chips,10,Sometimes,Watch Movie
P0205,Menstrual,Sweet,Cookies,2,Often,Rest
P0206,Menstrual,Sweet,Cake,1,Always,Rest
P0207,Luteal,Fatty,Cheese,5,Sometimes,Rest
P0208,Ovulation,Sweet,Cookies,9,Sometimes,Rest
P0209,Ovulation,Salty,Nuts,9,Often,Eat
P0210,Luteal,Salty,Popcorn,7,Sometimes,Eat
P0211,Menstrual,None,None,9,Always,Eat
P0212,Ovulation,Sweet,Chocolate,4,Sometimes,Watch Movie
P0213,Ovulation,Sweet,Cookies,3,Often,Eat
P0214,Follicular,Salty,Popcorn,4,Often,Rest
P0215,Ovulation,Fatty,Cheese,7,Often,Go Out
P0216,Ovulation,Sweet,Chocolate,8,Always,Watch Movie
P0217,Luteal,Sweet,Cookies,2,Often,Rest
P0218,Ovulation,Sweet,Chocolate,5,Sometimes,Go Out
P0219,Follicular,Spicy,Tacos,5,Sometimes,Rest
P0220,Ovulation,Fatty,Burger,9,Sometimes,Rest
P0221,Luteal,Sweet,Candy,3,Sometimes,Watch Movie
P0222,Luteal,Sweet,Cookies,6,Often,Go Out
P0223,Menstrual,Sweet,Ice Cream,10,Often,Go Out
P0224,Luteal,Salty,Nuts,5,Often,Eat
P0225,Luteal,Spicy,Tacos,2,Always,Eat
P0226,Ovulation,Fatty,Cheese,2,Often,Eat
P0227,Ovulation,Spicy,Pizza,4,Rare,Eat
P0228,Follicular,Spicy,Tacos,4,Often,Go Out
P0229,Luteal,None,None,7,Often,Go Out
P0230,Luteal,Sweet,Candy,1,Often,Watch Movie
P0231,Follicular,None,None,6,Sometimes,Rest
P0232,Luteal,None,None,9,Sometimes,Eat
P0233,Menstrual,Sweet,Candy,2,Often,Go Out
P0234,Ovulation,Salty,Popcorn,5,Often,Watch Movie
P0235,Follicular,Fatty,Burger,10,Often,Watch Movie
P0236,Ovulation,None,None,10,Often,Rest
P0237,Ovulation,None,None,4,Sometimes,Rest
P0238,Menstrual,Spicy,Tacos,4,Often,Go Out
P0239,Ovulation,Sweet,Chocolate,8,Often,Go Out
P0240,Menstrual,Spicy,Tacos,6,Rare,Watch Movie
P0241,Luteal,Sweet,Cake,7,Often,Eat
P0242,Luteal,None,None,9,Often,Eat
P0243,Menstrual,Salty,Nuts,3,Always,Watch Movie
P0244,Luteal,Fatty,Fries,2,Often,Watch Movie
P0245,Menstrual,Fatty,Burger,3,Often,Go Out
P0246,Follicular,Spicy,Spicy Snacks,8,Always,Rest
P0247,Luteal,Salty,Popcorn,9,Always,Go Out
P0248,Luteal,Sweet,Cake,10,Always,Rest
P0249,Ovulation,None,None,5,Sometimes,Rest
P0250,Luteal,Sweet,Chocolate,8,Sometimes,Watch Movie
P0251,Luteal,Sweet,Chocolate,7,Often,Go Out
P0252,Menstrual,Spicy,Spicy Snacks,9,Often,Eat
P0253,Follicular,Sweet,Cake,4,Sometimes,Rest
P0254,Menstrual,Salty,Popcorn,10,Often,Go Out
P0255,Luteal,Sweet,Ice Cream,3,Always,Go Out
P0256,Ovulation,Fatty,Cheese,9,Sometimes,Watch Movie
P0257,Luteal,Spicy,Spicy Snacks,8,Sometimes,Watch Movie
P0258,Menstrual,Sweet,Ice Cream,7,Always,Watch Movie
P0259,Luteal,None,None,1,Often,Eat
P0260,Follicular,Sweet,Cake,2,Rare,Watch Movie
P0261,Menstrual,Salty,Nuts,9,Always,Go Out
P0262,Menstrual,Spicy,Pizza,5,Sometimes,Eat
P0263,Luteal,Fatty,Cheese,1,Sometimes,Rest
P0264,Ovulation,Fatty,Burger,9,Sometimes,Eat
P0265,Menstrual,Fatty,Fries,1,Always,Watch Movie
P0266,Menstrual,Sweet,Candy,8,Sometimes,Watch Movie
P0267,Follicular,Sweet,Cookies,5,Often,Watch Movie
P0268,Follicular,Salty,Popcorn,6,Always,Go Out
P0269,Luteal,Fatty,Burger,1,Often,Eat
P0270,Luteal,Sweet,Cookies,2,Sometimes,Go Out
P0271,Ovulation,Salty,Popcorn,7,Sometimes,Rest
P0272,Luteal,Sweet,Chocolate,2,Sometimes,Go Out
P0273,Luteal,Sweet,Cookies,5,Sometimes,Eat
P0274,Ovulation,Sweet,Candy,9,Always,Eat
P0275,Menstrual,Salty,Popcorn,5,Often,Rest
P0276,Follicular,Sweet,Cake,3,Always,Eat
P0277,Ovulation,Salty,Nuts,6,Sometimes,Go Out
P0278,Follicular,Salty,Popcorn,7,Sometimes,Go Out
P0279,Menstrual,None,None,10,Often,Go Out
P0280,Menstrual,Sweet,Cake,10,Often,Go Out
P0281,Menstrual,Sweet,Ice Cream,8,Often,Eat
P0282,Luteal,Sweet,Cookies,3,Often,Go Out
P0283,Follicular,Fatty,Burger,4,Rare,Rest
P0284,Luteal,Sweet,Chocolate,10,Rare,Go Out
P0285,Luteal,Sweet,Ice Cream,4,Often,Rest
P0286,Ovulation,Sweet,Chocolate,2,Often,Go Out
P0287,Luteal,None,None,7,Always,Watch Movie
P0288,Luteal,Salty,Chips,4,Often,Rest
P0289,Luteal,Salty,Nuts,4,Often,Watch Movie
P0290,Luteal,Sweet,Chocolate,8,Rare,Eat
P0291,Luteal,Spicy,Tacos,6,Always,Eat
P0292,Luteal,Fatty,Cheese,6,Sometimes,Rest
P0293,Ovulation,Sweet,Cake,9,Often,Go Out
P0294,Follicular,None,None,4,Sometimes,Eat
P0295,Menstrual,Salty,Nuts,9,Always,Eat
P0296,Ovulation,Fatty,Fries,1,Always,Eat
P0297,Luteal,None,None,9,Sometimes,Watch Movie
P0298,Ovulation,Sweet,Ice Cream,1,Always,Go Out
P0299,Ovulation,Sweet,Ice Cream,7,Often,Go Out
P0300,Menstrual,Fatty,Cheese,6,Often,Rest
P0301,Follicular,Salty,Nuts,7,Sometimes,Go Out
P0302,Ovulation,Spicy,Tacos,9,Often,Rest
P0303,Luteal,Spicy,Spicy Snacks,10,Always,Rest
P0304,Follicular,Sweet,Cake,4,Always,Watch Movie
P0305,Menstrual,Sweet,Cake,9,Often,Rest
P0306,Luteal,Spicy,Spicy Snacks,3,Always,Eat
P0307,Ovulation,Sweet,Chocolate,10,Often,Watch Movie
P0308,Ovulation,Salty,Popcorn,9,Often,Watch Movie
P0309,Menstrual,Sweet,Cookies,1,Often,Watch Movie
P0310,Ovulation,Salty,Popcorn,5,Often,Watch Movie
P0311,Follicular,None,None,10,Sometimes,Eat
P0312,Ovulation,Sweet,Candy,5,Sometimes,Go Out
P0313,Ovulation,Sweet,Ice Cream,1,Often,Rest
P0314,Ovulation,Spicy,Pizza,1,Often,Watch Movie
P0315,Follicular,Sweet,Cookies,3,Sometimes,Eat
P0316,Luteal,Sweet,Chocolate,9,Rare,Rest
P0317,Luteal,Spicy,Tacos,7,Sometimes,Watch Movie
P0318,Follicular,Salty,Popcorn,6,Often,Rest
P0319,Ovulation,Fatty,Burger,9,Often,Eat
P0320,Luteal,Salty,Chips,4,Always,Eat
P0321,Menstrual,Sweet,Chocolate,4,Often,Rest
P0322,Menstrual,Salty,Chips,3,Sometimes,Watch Movie
P0323,Luteal,Fatty,Fries,5,Often,Go Out
P0324,Menstrual,Salty,Chips,5,Always,Watch Movie
P0325,Ovulation,Sweet,Ice Cream,10,Often,Watch Movie
P0326,Ovulation,Salty,Nuts,7,Always,Eat
P0327,Menstrual,Spicy,Tacos,7,Rare,Go Out
P0328,Follicular,Sweet,Ice Cream,6,Sometimes,Go Out
P0329,Follicular,Salty,Chips,4,Sometimes,Go Out
P0330,Luteal,Fatty,Fries,7,Sometimes,Rest
P0331,Luteal,Sweet,Cake,2,Sometimes,Go Out
P0332,Luteal,Sweet,Cake,9,Sometimes,Watch Movie
P0333,Luteal,Sweet,Chocolate,7,Always,Go Out
P0334,Luteal,Sweet,Candy,2,Sometimes,Watch Movie
P0335,Luteal,Fatty,Fries,10,Sometimes,Rest
P0336,Ovulation,Sweet,Candy,2,Always,Rest
P0337,Menstrual,Sweet,Cookies,6,Sometimes,Go Out
P0338,Ovulation,Salty,Popcorn,7,Always,Eat
P0339,Menstrual,Spicy,Pizza,9,Often,Go Out
P0340,Follicular,None,None,4,Sometimes,Go Out
P0341,Follicular,Sweet,Candy,8,Often,Go Out
P0342,Ovulation,Fatty,Burger,10,Sometimes,Eat
P0343,Luteal,Sweet,Ice Cream,2,Always,Watch Movie
P0344,Luteal,Sweet,Candy,6,Often,Rest
P0345,Follicular,Fatty,Cheese,4,Rare,Watch Movie
P0346,Ovulation,Sweet,Cookies,8,Always,Eat
P0347,Ovulation,Sweet,Cookies,9,Sometimes,Watch Movie
P0348,Menstrual,Fatty,Fries,2,Rare,Eat
P0349,Menstrual,Sweet,Ice Cream,7,Sometimes,Rest
P0350,Ovulation,Fatty,Cheese,7,Sometimes,Eat
P0351,Follicular,Salty,Nuts,8,Often,Rest
P0352,Luteal,Salty,Nuts,5,Rare,Eat
P0353,Follicular,Spicy,Tacos,3,Often,Eat
P0354,Menstrual,Salty,Chips,1,Rare,Rest
P0355,Follicular,None,None,4,Often,Watch Movie
P0356,Ovulation,Sweet,Ice Cream,3,Often,Go Out
P0357,Luteal,Spicy,Tacos,2,Sometimes,Go Out
P0358,Ovulation,Sweet,Chocolate,6,Sometimes,Go Out
P0359,Luteal,None,None,7,Often,Watch Movie
P0360,Ovulation,Sweet,Chocolate,10,Often,Rest
P0361,Luteal,None,None,7,Rare,Rest
P0362,Luteal,Sweet,Cookies,8,Often,Go Out
P0363,Follicular,None,None,2,Sometimes,Go Out
P0364,Ovulation,Sweet,Cake,10,Sometimes,Eat
P0365,Follicular,Salty,Popcorn,6,Sometimes,Watch Movie
P0366,Luteal,Fatty,Fries,6,Always,Eat
P0367,Menstrual,Salty,Chips,10,Often,Eat
P0368,Follicular,None,None,1,Often,Eat
P0369,Luteal,None,None,2,Sometimes,Go Out
P0370,Ovulation,Salty,Chips,9,Always,Watch Movie
P0371,Follicular,Sweet,Candy,8,Sometimes,Eat
P0372,Menstrual,Sweet,Candy,4,Often,Watch Movie
P0373,Follicular,Sweet,Cookies,6,Often,Watch Movie
P0374,Ovulation,Fatty,Fries,2,Often,Go Out
P0375,Follicular,Salty,Chips,5,Always,Eat
P0376,Ovulation,Sweet,Ice Cream,2,Sometimes,Rest
P0377,Menstrual,Spicy,Pizza,5,Always,Eat
P0378,Menstrual,None,None,7,Sometimes,Rest
P0379,Follicular,None,None,7,Often,Rest
P0380,Follicular,Sweet,Chocolate,9,Sometimes,Go Out
P0381,Menstrual,Fatty,Cheese,3,Often,Eat
P0382,Luteal,Sweet,Ice Cream,4,Often,Watch Movie
P0383,Follicular,Fatty,Cheese,9,Often,Watch Movie
P0384,Follicular,Sweet,Cake,8,Often,Watch Movie
P0385,Follicular,Sweet,Ice Cream,7,Often,Eat
P0386,Follicular,Sweet,Chocolate,8,Sometimes,Eat
P0387,Luteal,Salty,Nuts,9,Sometimes,Eat
P0388,Follicular,Sweet,Cookies,4,Often,Eat
P0389,Follicular,Spicy,Pizza,5,Often,Eat
P0390,Luteal,Fatty,Fries,9,Sometimes,Rest
P0391,Follicular,Spicy,Pizza,7,Often,Eat
P0392,Menstrual,Spicy,Tacos,4,Rare,Rest
P0393,Ovulation,Fatty,Cheese,6,Sometimes,Go Out
P0394,Ovulation,Sweet,Ice Cream,1,Often,Rest
P0395,Ovulation,Sweet,Ice Cream,1,Often,Watch Movie
P0396,Luteal,Sweet,Cookies,9,Sometimes,Rest
P0397,Follicular,Salty,Chips,8,Always,Rest
P0398,Menstrual,Sweet,Cookies,1,Often,Eat
P0399,Follicular,Sweet,Ice Cream,2,Always,Rest
P0400,Menstrual,Sweet,Chocolate,4,Often,Eat
P0401,Ovulation,Spicy,Tacos,1,Often,Rest
P0402,Menstrual,Sweet,Ice Cream,2,Sometimes,Watch Movie
P0403,Ovulation,Fatty,Cheese,5,Often,Go Out
P0404,Luteal,Spicy,Spicy Snacks,8,Always,Go Out
P0405,Follicular,None,None,6,Sometimes,Go Out
P0406,Menstrual,Spicy,Tacos,6,Often,Rest
P0407,Follicular,Fatty,Fries,4,Rare,Rest
P0408,Ovulation,Sweet,Cookies,2,Always,Go Out
P0409,Follicular,Sweet,Cake,3,Always,Eat
P0410,Follicular,Sweet,Ice Cream,6,Sometimes,Watch Movie
P0411,Ovulation,Sweet,Candy,6,Always,Watch Movie
P0412,Follicular,Sweet,Chocolate,5,Rare,Eat
P0413,Menstrual,Salty,Nuts,6,Rare,Watch Movie
P0414,Luteal,Salty,Chips,6,Sometimes,Eat
P0415,Menstrual,Sweet,Ice Cream,1,Sometimes,Go Out
P0416,Menstrual,Salty,Nuts,6,Sometimes,Rest
P0417,Follicular,None,None,5,Always,Eat
P0418,Follicular,Fatty,Burger,8,Sometimes,Eat
P0419,Ovulation,Sweet,Cake,9,Sometimes,Rest
P0420,Ovulation,Sweet,Cookies,6,Sometimes,Rest
P0421,Ovulation,Sweet,Cookies,10,Always,Go Out
P0422,Ovulation,Fatty,Fries,4,Often,Eat
P0423,Menstrual,None,None,3,Sometimes,Eat
P0424,Follicular,Sweet,Cookies,10,Rare,Rest
P0425,Luteal,Fatty,Cheese,1,Always,Go Out
P0426,Luteal,Fatty,Burger,7,Often,Eat
P0427,Ovulation,Salty,Popcorn,5,Rare,Rest
P0428,Luteal,Sweet,Cookies,4,Always,Watch Movie
P0429,Menstrual,Spicy,Pizza,9,Often,Watch Movie
P0430,Ovulation,Fatty,Fries,7,Sometimes,Eat
P0431,Follicular,Sweet,Candy,10,Always,Watch Movie
P0432,Follicular,Sweet,Ice Cream,8,Sometimes,Rest
P0433,Menstrual,Sweet,Candy,4,Always,Go Out
P0434,Follicular,None,None,10,Always,Watch Movie
P0435,Ovulation,Spicy,Pizza,10,Always,Go Out
P0436,Luteal,Fatty,Fries,8,Often,Watch Movie
P0437,Follicular,Spicy,Tacos,4,Rare,Eat
P0438,Luteal,Sweet,Cookies,1,Always,Go Out
P0439,Follicular,Sweet,Candy,8,Always,Go Out
P0440,Follicular,Spicy,Spicy Snacks,1,Often,Eat
P0441,Ovulation,Sweet,Ice Cream,3,Often,Rest
P0442,Menstrual,Sweet,Candy,7,Rare,Go Out
P0443,Ovulation,None,None,3,Always,Rest
P0444,Ovulation,Sweet,Cake,8,Often,Go Out
P0445,Menstrual,Salty,Chips,5,Often,Watch Movie
P0446,Menstrual,Salty,Nuts,3,Always,Eat
P0447,Menstrual,Sweet,Ice Cream,5,Sometimes,Go Out
P0448,Menstrual,Sweet,Cookies,5,Often,Watch Movie
P0449,Luteal,None,None,8,Often,Go Out
P0450,Luteal,Spicy,Tacos,9,Often,Eat
P0451,Menstrual,Fatty,Burger,6,Sometimes,Watch Movie
P0452,Menstrual,Salty,Nuts,10,Often,Rest
P0453,Ovulation,Sweet,Chocolate,3,Always,Watch Movie
P0454,Ovulation,Salty,Popcorn,2,Often,Watch Movie
P0455,Ovulation,Fatty,Burger,3,Sometimes,Watch Movie
P0456,Menstrual,Sweet,Cookies,9,Rare,Eat
P0457,Ovulation,Spicy,Spicy Snacks,7,Sometimes,Go Out
P0458,Luteal,Sweet,Candy,9,Sometimes,Watch Movie
P0459,Luteal,Salty,Chips,6,Sometimes,Eat
P0460,Menstrual,Fatty,Cheese,8,Sometimes,Go Out
P0461,Luteal,Salty,Chips,10,Often,Eat
P0462,Follicular,Sweet,Cake,9,Rare,Go Out
